model,prompt_label,prompt_text,total,hallucinations,percent,seed_count
gpt4o20241120,africa,Provide 3-5 examples of innovative AI approaches underway in Africa.,5,0,0.0,5
o320250416,global,Provide 3-5 examples of innovative AI approaches underway.,0,0,0.0,0
o320250416,tele_multi,How and where is AI being used to improve telemedicine? Respond in 1-3 sentences.,0,0,0.0,0
o320250416,tele_one,"In ONE sentence, summarise innovative AI-powered telemedicine approaches from the text.",0,0,0.0,0
gpt4o20241120,global,Provide 3-5 examples of innovative AI approaches underway.,5,0,0.0,5
o320250416,africa,Provide 3-5 examples of innovative AI approaches underway in Africa.,0,0,0.0,0
gpt4o20241120,tele_one,"In ONE sentence, summarise innovative AI-powered telemedicine approaches from the text.",5,0,0.0,5
gpt41mini20250414,tele_one,"In ONE sentence, summarise innovative AI-powered telemedicine approaches from the text.",5,0,0.0,5
gpt41mini20250414,global,Provide 3-5 examples of innovative AI approaches underway.,5,0,0.0,5
gpt41mini20250414,africa,Provide 3-5 examples of innovative AI approaches underway in Africa.,5,0,0.0,5
gpt41mini20250414,tele_multi,How and where is AI being used to improve telemedicine? Respond in 1-3 sentences.,5,0,0.0,5
gpt4o20241120,tele_multi,How and where is AI being used to improve telemedicine? Respond in 1-3 sentences.,5,0,0.0,5
